transactionId,customerRef,customerName,amount,occurredAt,countryCode,city,latitude,longitude,merchantId,merchantCategory,deviceId,paymentMethod,hour,dayOfWeek,isForeign,isNewDevice,isNewPaymentMethod,isDawn,label,scenario
SIM-CUST-014-NORMAL-0001,SIM-CUST-014,Shin Haein,85603,2025-11-28T08:39:52,KR,Daegu,35.863913,128.60028,grocery-daegu-01,GROCERY,web-trusted-sim-cust-014,E-PAY,8,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-001-NORMAL-0001,SIM-CUST-001,Kim Minjun,45976,2025-11-28T09:00:11,KR,Seoul,37.571601,126.981062,grocery-seoul-01,GROCERY,web-trusted-sim-cust-001,CARD,9,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-018-NORMAL-0001,SIM-CUST-018,Song Sumin,59247,2025-11-28T09:51:00,KR,Incheon,37.440029,126.685829,online-incheon-01,ONLINE,web-trusted-sim-cust-018,ACCOUNT,9,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-019-NORMAL-0001,SIM-CUST-019,Hong Jiwon,144922,2025-11-28T09:54:17,KR,Daegu,35.854102,128.600059,grocery-daegu-01,GROCERY,web-trusted-sim-cust-019,CARD,9,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-003-NORMAL-0001,SIM-CUST-003,Park Jiho,64603,2025-11-28T10:06:45,KR,Incheon,37.451202,126.712678,cafe-incheon-01,CAFE,web-trusted-sim-cust-003,E-PAY,10,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-013-NORMAL-0001,SIM-CUST-013,Seo Jiho,96513,2025-11-28T10:36:35,KR,Incheon,37.467706,126.700356,utility-incheon-01,UTILITY,web-trusted-sim-cust-013,CARD,10,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-007-NORMAL-0001,SIM-CUST-007,Cho Hyunwoo,61962,2025-11-28T11:18:53,KR,Busan,35.195697,129.085086,online-busan-01,ONLINE,web-trusted-sim-cust-007,E-PAY,11,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-008-NORMAL-0001,SIM-CUST-008,Yoon Sumin,49779,2025-11-28T11:21:10,KR,Incheon,37.43968,126.700137,dining-incheon-01,DINING,web-trusted-sim-cust-008,CARD,11,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-005-NORMAL-0001,SIM-CUST-005,Jung Doyun,86300,2025-11-28T12:12:19,KR,Daejeon,36.329685,127.37669,dining-daejeon-01,DINING,web-trusted-sim-cust-005,CARD,12,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-011-NORMAL-0001,SIM-CUST-011,Han Minjun,62918,2025-11-28T12:30:01,KR,Seoul,37.565738,126.956412,cafe-seoul-01,CAFE,web-trusted-sim-cust-011,E-PAY,12,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-015-NORMAL-0001,SIM-CUST-015,Kwon Doyun,84725,2025-11-28T12:42:09,KR,Daejeon,36.375187,127.394713,cafe-daejeon-01,CAFE,web-trusted-sim-cust-015,ACCOUNT,12,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-020-NORMAL-0001,SIM-CUST-020,Moon Nari,43129,2025-11-28T13:57:34,KR,Daejeon,36.332929,127.400718,grocery-daejeon-01,GROCERY,web-trusted-sim-cust-020,E-PAY,13,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-006-NORMAL-0001,SIM-CUST-006,Kang Yuna,111019,2025-11-28T14:15:36,KR,Seoul,37.551371,126.98203,dining-seoul-01,DINING,web-trusted-sim-cust-006,ACCOUNT,14,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-012-NORMAL-0001,SIM-CUST-012,Oh Seoyeon,40850,2025-11-28T14:33:18,KR,Busan,35.183042,129.061473,dining-busan-01,DINING,web-trusted-sim-cust-012,ACCOUNT,14,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-009-NORMAL-0001,SIM-CUST-009,Jang Jiwon,141291,2025-11-28T15:24:27,KR,Daegu,35.879734,128.623907,utility-daegu-01,UTILITY,web-trusted-sim-cust-009,ACCOUNT,15,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-002-NORMAL-0001,SIM-CUST-002,Lee Seoyeon,36315,2025-11-28T18:03:28,KR,Busan,35.180522,129.081732,grocery-busan-01,GROCERY,web-trusted-sim-cust-002,CARD,18,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-004-NORMAL-0001,SIM-CUST-004,Choi Haein,37419,2025-11-28T18:09:02,KR,Daegu,35.85639,128.626263,grocery-daegu-01,GROCERY,web-trusted-sim-cust-004,CARD,18,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-010-NORMAL-0001,SIM-CUST-010,Lim Nari,48370,2025-11-28T18:27:44,KR,Daejeon,36.36044,127.403177,grocery-daejeon-01,GROCERY,web-trusted-sim-cust-010,CARD,18,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-016-NORMAL-0001,SIM-CUST-016,Hwang Yuna,73612,2025-11-28T18:45:26,KR,Seoul,37.570806,126.955966,shopping-seoul-01,SHOPPING,web-trusted-sim-cust-016,CARD,18,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-017-NORMAL-0001,SIM-CUST-017,Ahn Hyunwoo,60784,2025-11-28T21:48:43,KR,Busan,35.180799,129.059515,online-busan-01,ONLINE,web-trusted-sim-cust-017,E-PAY,21,4,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-016-NORMAL-0002,SIM-CUST-016,Hwang Yuna,65191,2025-11-29T07:52:00,KR,Seoul,37.559972,126.99918,cafe-seoul-02,CAFE,mobile-primary-sim-cust-016,CARD,7,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-004-NORMAL-0002,SIM-CUST-004,Choi Haein,35809,2025-11-29T08:16:36,KR,Daegu,35.89405,128.599481,dining-daegu-02,DINING,mobile-primary-sim-cust-004,CARD,8,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-019-NORMAL-0002,SIM-CUST-019,Hong Jiwon,136296,2025-11-29T09:01:51,KR,Daegu,35.8618,128.600726,grocery-daegu-02,GROCERY,mobile-primary-sim-cust-019,CARD,9,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-014-NORMAL-0002,SIM-CUST-014,Shin Haein,85384,2025-11-29T09:46:26,KR,Daegu,35.885081,128.616968,utility-daegu-02,UTILITY,mobile-primary-sim-cust-014,E-PAY,9,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-018-NORMAL-0002,SIM-CUST-018,Song Sumin,61132,2025-11-29T10:58:34,KR,Incheon,37.466046,126.693857,grocery-incheon-02,GROCERY,mobile-primary-sim-cust-018,ACCOUNT,10,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-003-NORMAL-0002,SIM-CUST-003,Park Jiho,59394,2025-11-29T11:13:19,KR,Incheon,37.440602,126.706087,transport-incheon-02,TRANSPORT,mobile-primary-sim-cust-003,E-PAY,11,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-008-NORMAL-0002,SIM-CUST-008,Yoon Sumin,63034,2025-11-29T11:28:44,KR,Incheon,37.477423,126.691883,grocery-incheon-02,GROCERY,mobile-primary-sim-cust-008,CARD,11,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-013-NORMAL-0002,SIM-CUST-013,Seo Jiho,101705,2025-11-29T11:43:09,KR,Incheon,37.436279,126.720259,grocery-incheon-02,GROCERY,mobile-primary-sim-cust-013,CARD,11,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-020-NORMAL-0002,SIM-CUST-020,Moon Nari,45141,2025-11-29T12:04:08,KR,Daejeon,36.341106,127.382944,grocery-daejeon-02,GROCERY,mobile-primary-sim-cust-020,E-PAY,12,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-015-NORMAL-0002,SIM-CUST-015,Kwon Doyun,100472,2025-11-29T12:49:43,KR,Daejeon,36.366566,127.402659,cafe-daejeon-02,CAFE,mobile-primary-sim-cust-015,ACCOUNT,12,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-002-NORMAL-0002,SIM-CUST-002,Lee Seoyeon,44859,2025-11-29T13:10:02,KR,Busan,35.164778,129.078061,cafe-busan-02,CAFE,mobile-primary-sim-cust-002,CARD,13,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-009-NORMAL-0002,SIM-CUST-009,Jang Jiwon,139738,2025-11-29T13:31:01,KR,Daegu,35.869132,128.58251,grocery-daegu-02,GROCERY,mobile-primary-sim-cust-009,ACCOUNT,13,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-017-NORMAL-0002,SIM-CUST-017,Ahn Hyunwoo,53545,2025-11-29T13:55:17,KR,Busan,35.165325,129.073462,dining-busan-02,DINING,mobile-primary-sim-cust-017,E-PAY,13,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-006-NORMAL-0002,SIM-CUST-006,Kang Yuna,127841,2025-11-29T14:22:10,KR,Seoul,37.553227,126.967257,grocery-seoul-02,GROCERY,mobile-primary-sim-cust-006,ACCOUNT,14,5,0,0,0,0,0,NORMAL_BASELINE
SIM-CUST-012-NORMAL-0002,SIM-CUST-012,Oh Seoyeon,44662,2025-11-29T14:40:52,KR,Busan,35.180376,129.095271,utility-busan-02,UTILITY,mobile-primary-sim-cust-012,ACCOUNT,14,5,0,0,0,0,0,NORMAL_BASELINE
